日期,类型,分类,金额,币种,账户,商户,备注
2025-06-01,支出,外食,780,JPY,三井NL,,
2025-06-01,支出,日用品,2980,JPY,三井master,,
2025-06-01,支出,外食,950,JPY,现金,,
2025-06-01,支出,买菜,819,JPY,乐天Pay,,
2025-06-02,支出,买菜,1131,JPY,三井NL,,
2025-06-02,支出,日用品,295,JPY,乐天Pay,,
2025-06-02,支出,娱乐,500,JPY,三井NL,,
2025-06-02,支出,外食,1100,JPY,现金,,
2025-06-02,支出,交通费,636,JPY,suica,,
2025-06-02,支出,外食,2372,JPY,AmexGold,,
2025-06-03,支出,外食,2010,JPY,支付宝,,
2025-06-03,支出,交通费,292,JPY,suica,,
2025-06-03,支出,外食,1100,JPY,三井Olive,,
2025-06-04,支出,外食,760,JPY,三井Olive,,
2025-06-04,支出,医疗,1299,JPY,乐天Pay,,
2025-06-04,支出,外食,800,JPY,支付宝,,
2025-06-04,支出,交通费,292,JPY,suica,,
2025-06-05,支出,外食,550,JPY,三井NL,,
2025-06-05,支出,外食,1150,JPY,乐天Pay,,
2025-06-05,支出,日用品,4226,JPY,乐天Pay,,
2025-06-06,支出,外食,1730,JPY,支付宝,,
2025-06-06,支出,外食,560,JPY,三井NL,,
2025-06-07,支出,医疗,1529,JPY,乐天Pay,,
2025-06-07,支出,日用品,1979,JPY,其他,,
2025-06-07,支出,外食,540,JPY,乐天Pay,,
2025-06-08,支出,外食,585,JPY,AmexGold,,
2025-06-08,支出,日用品,938,JPY,乐天Pay,,
2025-06-08,支出,外食,780,JPY,三井Olive,,
2025-06-08,支出,外食,1420,JPY,支付宝,,
2025-06-08,支出,买菜,298,JPY,乐天Pay,,
2025-06-08,收入,游戏,3520,JPY,,,
2025-06-08,支出,交通费,356,JPY,suica,,
2025-06-09,支出,外食,550,JPY,三井NL,,
2025-06-09,支出,医疗,3364,JPY,乐天Pay,,
2025-06-09,支出,外食,890,JPY,乐天Pay,,
2025-06-09,支出,医疗,2080,JPY,乐天Pay,,
2025-06-10,支出,外食,1480,JPY,现金,,
2025-06-10,支出,买菜,236,JPY,乐天Pay,,
2025-06-10,支出,外食,364,JPY,乐天Pay,,
2025-06-10,支出,买菜,5200,JPY,三井master,,
2025-06-11,支出,光热费,4873,JPY,AmexGold,,
2025-06-11,支出,外食,2590,JPY,AmexGold,,
2025-06-12,支出,外食,769,JPY,三井NL,,
2025-06-12,支出,买菜,375,JPY,三井NL,,
2025-06-12,支出,外食,2100,JPY,乐天Pay,,
2025-06-12,支出,娱乐,950,JPY,乐天Pay,,
2025-06-12,支出,谷子,1100,JPY,乐天Pay,,
2025-06-12,支出,交通费,356,JPY,suica,,
2025-06-13,支出,外食,1733,JPY,乐天Pay,,
2025-06-13,支出,外食,1200,JPY,三井NL,,
2025-06-13,支出,娱乐,900,JPY,现金,,
2025-06-14,支出,外食,710,JPY,三井NL,,
2025-06-14,支出,外食,1150,JPY,现金,,
2025-06-14,支出,买菜,340,JPY,乐天Pay,,
2025-06-14,支出,交通费,1512,JPY,suica,,
2025-06-15,支出,外食,801,JPY,三井NL,,
2025-06-15,支出,交通费,733,JPY,suica,,
2025-06-16,支出,外食,1380,JPY,支付宝,,
2025-06-17,支出,买菜,4192,JPY,乐天Pay,,
2025-06-18,支出,旅游,7268,JPY,乐天Master,,
2025-06-18,支出,买菜,12995,JPY,乐天Master,,
2025-06-19,支出,日用品,1980,JPY,三井master,,
2025-06-20,支出,外食,6264,JPY,支付宝,,
2025-06-20,支出,外食,1160,JPY,乐天Pay,,
2025-06-21,支出,交通费,356,JPY,suica,,
2025-06-21,支出,外食,660,JPY,AmexGold,,
2025-06-21,支出,外食,1980,JPY,乐天Pay,,
2025-06-21,支出,外食,840,JPY,乐天Pay,,
2025-06-21,支出,交通费,230,JPY,suica,,
2025-06-21,支出,买菜,141,JPY,三井NL,,
2025-06-22,支出,外食,870,JPY,三井NL,,
2025-06-22,支出,娱乐,1200,JPY,现金,,
2025-06-22,支出,交通费,824,JPY,suica,,
2025-06-23,支出,外食,800,JPY,三井NL,,
2025-06-25,支出,光热费,11724,JPY,AmexGold,,
2025-06-25,支出,健身房,1100,JPY,AmexGold,,
2025-06-25,支出,话费网费,1043,JPY,AmexGold,,
2025-06-25,支出,话费网费,3850,JPY,AmexGold,,
2025-06-25,支出,房租,117160,JPY,epos,,
2025-06-26,支出,游戏,1000,JPY,AmexGold,,
2025-06-26,支出,买菜,3890,JPY,AmexGold,,
2025-06-27,支出,外食,2810,JPY,乐天Pay,,
2025-06-27,支出,娱乐,3070,JPY,,,
2025-06-27,支出,交通费,636,JPY,suica,,
2025-06-27,支出,外食,320,JPY,,,
2025-06-27,支出,外食,1980,JPY,乐天Pay,,
2025-06-27,支出,买菜,1623,JPY,AmexGold,,
2025-06-27,支出,游戏,1000,JPY,AmexGold,,
2025-06-29,支出,交通费,800,JPY,suica,,
2025-06-29,支出,交通费,6006,JPY,AmexGold,,
2025-06-29,支出,买菜,22408,JPY,乐天Master,,
2025-06-30,支出,买菜,609,JPY,乐天Pay,,
2025-06-30,支出,外食,4123,JPY,,,
2025-06-30,支出,交通费,460,JPY,suica,,
2025-06-30,支出,游戏,10000,JPY,支付宝,,
2025-06-30,支出,外食,2281,JPY,三井NL,,
