日期,类型,分类,金额,币种,账户,商户,备注
2025-09-01,支出,便利店,713,JPY,三井NL,,
2025-09-01,支出,外食,1300,JPY,现金,,
2025-09-01,支出,便利店,439,JPY,三井NL,,
2025-09-02,支出,外食,560,JPY,三井Olive,,
2025-09-02,支出,便利店,192,JPY,三井NL,,
2025-09-03,支出,娱乐,12000,JPY,AmexGold,,
2025-09-03,支出,便利店,181,JPY,suica,,
2025-09-03,支出,交通费,460,JPY,suica,,
2025-09-04,支出,外食,1000,JPY,三井NL,,
2025-09-04,支出,交通费,460,JPY,suica,,
2025-09-04,收入,娱乐,5700,JPY,,,
2025-09-04,支出,便利店,240,JPY,三井NL,,
2025-09-04,支出,外食,870,JPY,乐天Pay,,
2025-09-05,支出,外食,500,JPY,三井NL,,
2025-09-05,支出,外食,5896,JPY,Paypay,,
2025-09-06,支出,便利店,140,JPY,现金,,
2025-09-06,支出,交通费,460,JPY,suica,,
2025-09-06,支出,外食,1010,JPY,suica,,
2025-09-07,支出,交通费,1193,JPY,suica,,
2025-09-07,支出,外食,2070,JPY,Paypay,,
2025-09-08,支出,外食,940,JPY,suica,,
2025-09-08,支出,衣服,2680,JPY,suica,,
2025-09-08,支出,话费网费,3850,JPY,AmexGold,,
2025-09-08,支出,外食,640,JPY,AmexGold,,
2025-09-08,支出,外食,1550,JPY,现金,,
2025-09-09,支出,日用品,2539,JPY,AmexGold,,
2025-09-09,支出,外食,1300,JPY,现金,,
2025-09-09,支出,交通费,146,JPY,suica,,
2025-09-10,支出,便利店,930,JPY,三井NL,,
2025-09-10,支出,日用品,468,JPY,乐天Pay,,
2025-09-10,支出,外食,540,JPY,三井NL,,
2025-09-10,支出,话费网费,12980,JPY,AmexGold,,
2025-09-10,支出,外食,940,JPY,suica,,
2025-09-10,支出,外食,625,JPY,AmexGold,,
2025-09-10,支出,交通费,146,JPY,suica,,
2025-09-10,支出,外食,750,JPY,乐天Pay,,
2025-09-10,支出,医疗,1580,JPY,,,
2025-09-11,支出,外食,1380,JPY,Paypay,,
2025-09-11,支出,便利店,181,JPY,suica,,
2025-09-11,支出,外食,690,JPY,乐天Pay,,
2025-09-11,支出,交通费,837,JPY,suica,,
2025-09-13,支出,健身房,7678,JPY,AmexGold,,
2025-09-14,支出,谷子,1650,JPY,乐天Pay,,
2025-09-14,支出,衣服,11300,JPY,,,
2025-09-16,支出,日用品,699,JPY,AmexGold,,
2025-09-16,支出,外食,870,JPY,suica,,
2025-09-16,支出,外食,770,JPY,三井NL,,
2025-09-17,支出,旅游,167030,JPY,,,冲绳旅游（除机票）
2025-09-17,支出,外食,3200,JPY,Paypay,,
2025-09-17,收入,工资,455000,JPY,三井住友银行,,
2025-09-17,支出,交通费,816,JPY,suica,,
2025-09-17,支出,便利店,181,JPY,suica,,
2025-09-17,支出,外食,770,JPY,三井NL,,
2025-09-17,支出,便利店,479,JPY,三井NL,,
2025-09-18,支出,交通费,356,JPY,suica,,
2025-09-18,支出,便利店,218,JPY,suica,,
2025-09-18,支出,外食,5150,JPY,ANA卡,,
2025-09-19,支出,便利店,447,JPY,suica,,
2025-09-19,支出,便利店,348,JPY,三井NL,,
2025-09-19,支出,外食,1330,JPY,suica,,
2025-09-19,支出,便利店,522,JPY,suica,,
2025-09-20,支出,外食,1070,JPY,三井NL,,
2025-09-20,支出,交通费,230,JPY,suica,,
2025-09-20,支出,便利店,159,JPY,suica,,
2025-09-20,支出,日用品,1204,JPY,suica,,
2025-09-20,支出,买菜,33000,JPY,三井owners,,
2025-09-21,支出,外食,420,JPY,三井NL,,
2025-09-21,支出,交通费,1248,JPY,suica,,
2025-09-21,支出,便利店,1012,JPY,suica,,
2025-09-21,支出,便利店,330,JPY,三井NL,,
2025-09-21,支出,外食,1300,JPY,三井NL,,
2025-09-21,支出,外食,3200,JPY,Paypay,,
2025-09-22,支出,外食,990,JPY,suica,,
2025-09-23,支出,便利店,808,JPY,suica,,
2025-09-23,支出,便利店,170,JPY,三井NL,,
2025-09-23,支出,娱乐,2000,JPY,其他,,
2025-09-24,支出,便利店,638,JPY,三井NL,,
2025-09-24,支出,买菜,1851,JPY,ANAPay,,
2025-09-26,支出,交通费,1009,JPY,suica,,
2025-09-26,支出,便利店,130,JPY,suica,,
2025-09-26,支出,衣服,13800,JPY,AmexGold,,
2025-09-27,支出,外食,560,JPY,三井NL,,
2025-09-28,支出,便利店,476,JPY,suica,,
2025-09-28,支出,外食,3200,JPY,支付宝,,
2025-09-28,支出,娱乐,5000,JPY,现金,,
2025-09-28,支出,交通费,356,JPY,suica,,
2025-09-28,支出,外食,2600,JPY,Paypay,,
2025-09-28,支出,便利店,150,JPY,Paypay,,
2025-09-28,支出,便利店,635,JPY,三井NL,,
2025-09-29,支出,外食,1850,JPY,suica,,
2025-09-29,支出,交通费,292,JPY,suica,,
2025-09-29,支出,便利店,181,JPY,suica,,
2025-09-29,收入,活动,26240,JPY,,,
2025-09-30,支出,外食,1100,JPY,三井NL,,
2025-09-30,支出,房租,117160,JPY,epos,,
