事件ID,步骤,描述,要求,状态,完成日期,金额,关联交易ID,备注
POI202512A,1,キャンペーン参加登録,12/1-12/31,完成,2025-12-01,,,MyJCBで登録
POI202512A,2,スマリボ登録,12/1-12/31,完成,2025-12-01,,,MyJCBで登録
POI202512A,3,MyJCBログイン,11/16-3/15,完成,2025-12-01,,,本会員でログイン
POI202512A,4,11月利用分(転換済),138001,完成,2025-11-22,138001,,nanaco/FamiPay/JAL Pay充値
POI202512A,5,追加利用,161999,进行中,,0,,残り161999円必要
POI202512A,6,手数料発生確認,1回以上,待完成,,,,リボ手数料1回以上必要
POI202512A,7,キャッシュバック受取,,待返点,,30000,,2026年7月お支払い分

POI202512B,1,期間中AEON Pay利用,30000,待开始,,0,,12/6-14 上限3万円
POI202512B,2,WAON POINT進呈,,待返点,,3000,,2026/2/25頃届く予定

POI202512C,1,LINE Apple Gift Card購入,5000+,进行中,,5000,,PayPayマネー支払
POI202512C,2,PayPayポイント届く,,待返点,,500,,2026年1月下旬届く予定
